src,dst,avg_rtt,min_rtt,max_rtt,rtt_count,rtt_0,rtt_1,rtt_2,rtt_3,rtt_4,rtt_5,rtt_6,rtt_7,rtt_8,rtt_9
0,0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,2.1286240675097163,2.075371788290348,2.181910439402592,10,2.1437685126075623,2.1051528565778987,2.1160126622022917,2.139410855740792,2.1009487107142464,2.075371788290348,2.1316593559721735,2.1562497034975583,2.1357557900917,2.181910439402592
0,2,4.181316239458743,4.153901416990663,4.207640949628963,10,4.200132723019957,4.153901416990663,4.1558218844688755,4.19374631794156,4.156877896778938,4.194891114422806,4.207640949628963,4.205067318750386,4.180956570494429,4.164126202090856
0,3,6.254798145844647,6.213249666618541,6.279472742787736,10,6.273260073423641,6.240439351050289,6.213249666618541,6.279339516517876,6.267098151957995,6.243233331843867,6.266956098804397,6.279472742787736,6.245697717021652,6.239234808420477
0,4,10.155706799024722,10.119149095398715,10.210970386334791,10,10.169744047520341,10.194260794007644,10.120875089466434,10.210970386334791,10.151935934777923,10.119149095398715,10.134349930263532,10.180073170463086,10.147222881893518,10.128486660121258
0,5,14.288962080480616,14.25462716366992,14.345854750018264,10,14.25462716366992,14.272660788786565,14.266695114566483,14.285280336872646,14.280754201899999,14.264452058949155,14.303094899305108,14.318535182067052,14.345854750018264,14.29766630867096
0,6,4.127129179253541,4.080122348114134,4.18927858811346,10,4.18927858811346,4.096729691049044,4.123655990745169,4.11926568954378,4.137487554564791,4.165785139755791,4.11763764061733,4.107942058120871,4.133387091911036,4.080122348114134
0,7,8.220649540993984,8.192712572477177,8.262389116974022,10,8.246293699799264,8.211305564076874,8.249033590630807,8.205688651804339,8.211118221218557,8.194952033290607,8.262389116974022,8.236823657436048,8.196178302232141,8.192712572477177
1,0,2.1379692598876394,2.0919941901504124,2.188667600420075,10,2.0946565351920454,2.1771305112749926,2.188667600420075,2.112983600431385,2.1478436754814387,2.1259347002927864,2.1420914509380284,2.179060426207432,2.0919941901504124,2.1193299084877983
1,1,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,2.1155556148749826,2.0762016181176017,2.1542650374033396,10,2.1319933625903404,2.116410425621054,2.0853804853087032,2.1280562244148538,2.119246306274775,2.0762016181176017,2.107504157291122,2.1508878072435103,2.085610724484524,2.1542650374033396
1,3,4.202916263831313,4.137660160881921,4.285302895931487,10,4.2268444937664365,4.246165576460956,4.285302895931487,4.137660160881921,4.1797392195418,4.195104598497019,4.1527745093741135,4.203411192809727,4.193525260698577,4.208634730351095
1,4,12.229884836287447,12.175429918340672,12.258372290078952,10,12.222783253654669,12.240921888813977,12.210671181123883,12.257395852960896,12.257319061065072,12.175429918340672,12.22846993934156,12.218476103023367,12.258372290078952,12.229008874471415
1,5,14.3193747479071,14.280376175401175,14.368815876140351,10,14.289868720183046,14.368815876140351,14.288111117927276,14.36127308371466,14.291983053956415,14.331207098118222,14.306385829593712,14.339450428766797,14.336276095269321,14.280376175401175
1,6,6.151405122959398,6.083343506257709,6.20787780036137,10,6.119540839159953,6.162741022952913,6.1716405819083615,6.100252222409237,6.199791356316953,6.20787780036137,6.139033206498424,6.083343506257709,6.165182627836543,6.164648065892515
1,7,8.212324845164757,8.164679053939755,8.243773156325583,10,8.242659718768023,8.20668084809556,8.21159239484405,8.238396585388646,8.185377231213126,8.206272630828833,8.234582212473047,8.164679053939755,8.243773156325583,8.189234619770946
2,0,4.200205133664086,4.121939681079674,4.24382294582542,10,4.153137970915938,4.238653421421353,4.197368303464014,4.2164265001839425,4.2188595145791155,4.238051974578092,4.199672345704601,4.174118678888717,4.24382294582542,4.121939681079674
2,1,2.1401195834621243,2.0970420467312074,2.1840526397698383,10,2.1840526397698383,2.129599333966598,2.117628891236075,2.1009785834387964,2.1410038412285064,2.0970420467312074,2.150202945016876,2.1455305233262596,2.1688850773150232,2.166271952592061
2,2,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,2.131205118164535,2.093895352174381,2.185122197411152,10,2.185122197411152,2.121436857828586,2.137744744214287,2.129246170333812,2.1175382459946865,2.1429266232843953,2.153252697441709,2.093895352174381,2.1179773817985543,2.112910911163786
2,4,14.307152150519297,14.21141343806898,14.389745340895109,10,14.389745340895109,14.35055289683562,14.364458401743743,14.21141343806898,14.301824019621789,14.280404521259383,14.277079718432494,14.338652859929539,14.256600322075094,14.300789986331246
2,5,12.220108067856298,12.142211531701276,12.278059333836428,10,12.255695369275957,12.20216614791748,12.142211531701276,12.23502196740079,12.257327033022536,12.196048329408598,12.240554853079214,12.209966201823782,12.278059333836428,12.184029911096946
2,6,8.206976643377498,8.157425571671014,8.281173311434436,10,8.203499273794113,8.17610977827361,8.263007125110397,8.168315478005331,8.229966923535187,8.281173311434436,8.157425571671014,8.16508838552793,8.192228299193328,8.232952287229637
2,7,6.125829875774576,6.091581018243588,6.187564392960871,10,6.125259268514128,6.1533974025568625,6.094881739987321,6.121163659695284,6.187564392960871,6.091581018243588,6.111992260877482,6.129949812044443,6.146789281965661,6.095719920900118
3,0,6.283604724560013,6.228243432087285,6.340598447214845,10,6.340598447214845,6.255427242451281,6.3128911130039995,6.228243432087285,6.295740374997694,6.311810209061288,6.273432962749839,6.3236894184510435,6.256505198297322,6.237708847285542
3,1,4.196148676893534,4.146873158130722,4.235750418598181,10,4.209252995288773,4.182115890533577,4.146873158130722,4.178789385192307,4.21035594472363,4.157298036082659,4.210458645084598,4.231039020774226,4.199553274526662,4.235750418598181
3,2,2.1225859524678805,2.0823533413026016,2.1578018032627684,10,2.0823533413026016,2.1578018032627684,2.1176286089430807,2.124171060216239,2.1319074781320744,2.099919713977769,2.1087508543762965,2.135841192482096,2.1431889797962986,2.124296492189574
3,3,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4,16.3566302874591,16.229285085283916,16.434792195417696,10,16.394700671857137,16.229285085283916,16.337746426493066,16.31713605229797,16.39023071763869,16.392235566944372,16.37474481014756,16.361097457397037,16.334333891113562,16.434792195417696
3,5,10.17549445088026,10.144903111091377,10.215723046912398,10,10.17818078410065,10.180365802375945,10.212406240241647,10.144903111091377,10.16108011891116,10.215723046912398,10.1526929259641,10.184797921728943,10.158601271173126,10.166193286303244
3,6,10.291540725366122,10.231456272964394,10.348338453926214,10,10.297377968715919,10.270097369511388,10.289437066747972,10.251785296184424,10.231456272964394,10.340316266862128,10.348338453926214,10.312877276624068,10.297397479298635,10.27632380282608
3,7,8.215170991936276,8.167358591841028,8.259327909706274,10,8.202964159076831,8.199406659861214,8.167982384653808,8.167358591841028,8.250369546922615,8.225020355474587,8.219385397185963,8.227686332040502,8.232208582599936,8.259327909706274
4,0,10.162877746182623,10.122887860218956,10.20984378263623,10,10.208182269806937,10.126922982540535,10.136706847841175,10.149054023923195,10.148947361233102,10.204876599610785,10.20984378263623,10.122887860218956,10.132287208689164,10.18906852532615
4,1,12.222935394619151,12.162527608775846,12.260425124352018,10,12.19945037030633,12.260425124352018,12.249692012465335,12.258486793956603,12.219011584129468,12.215827869295534,12.245195323224726,12.218007251743877,12.162527608775846,12.200730007941766
4,2,14.281739012062635,14.241437411163696,14.311828146366423,10,14.241437411163696,14.288433205989554,14.307454785321237,14.307532960250176,14.276690584305301,14.301852203661662,14.25735777638617,14.269066800817857,14.255736246364277,14.311828146366423
4,3,14.299870104143817,14.240900661758525,14.36246447586267,10,14.279197773415506,14.318975553780032,14.30961156240508,14.36246447586267,14.274775977334578,14.318228250640589,14.287653971095807,14.331568495789092,14.2753243193563,14.240900661758525
4,4,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5,10.178158029082093,10.153341347710537,10.204822731583654,10,10.188119732013952,10.170697400300863,10.204822731583654,10.175871697766393,10.163899768709129,10.17160395191393,10.153341347710537,10.171257350995193,10.199266371363848,10.18269993846343
4,6,6.138479970699352,6.089492064235487,6.166022672270847,10,6.102402471689499,6.1432218797416125,6.129947659171844,6.155033862634508,6.11867544076105,6.161454393434238,6.089492064235487,6.153718503876007,6.166022672270847,6.164830759178427
4,7,10.21506871241723,10.136448693539759,10.258059635815464,10,10.183243763750971,10.209571684521134,10.189959750957327,10.210125751607032,10.235928577200946,10.136448693539759,10.245705380575128,10.252088121272562,10.229555764931982,10.258059635815464
5,0,14.286032545434594,14.25432033272076,14.322963623269052,10,14.311889409338365,14.25432033272076,14.322963623269052,14.263460784527158,14.263377517755393,14.28397027686258,14.258021334049447,14.280097223021665,14.316900788638529,14.305324164163004
5,1,14.290411362368108,14.24288557528463,14.332428485260477,10,14.300630144136953,14.284398061693492,14.293841105951097,14.311714504247583,14.276032501845066,14.332428485260477,14.288005992033058,14.297492268717566,14.24288557528463,14.276684984511153
5,2,12.215171210600671,12.164645811442224,12.261579713163707,10,12.219333622667541,12.20160212153843,12.184767746251262,12.184390844678525,12.164645811442224,12.254146212323858,12.206933200584732,12.255717509518036,12.218595323838388,12.261579713163707
5,3,10.174581841589776,10.121463954318552,10.198423351895062,10,10.183890246957226,10.18174644058383,10.190772944478589,10.198423351895062,10.173457611366752,10.121463954318552,10.182402091330376,10.193942792859854,10.141275351534583,10.178443630572925
